Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Spider-Man: Homecoming,2017,"['Action', 'Adventure', 'Science Fiction']",7.329,22613,175000000,880166924,315635
Guardians of the Galaxy Vol. 2,2017,"['Science Fiction', 'Adventure', 'Action']",7.6,22404,200000000,863756051,283995
Thor: Ragnarok,2017,"['Action', 'Adventure', 'Science Fiction']",7.6,21514,180000000,855301806,284053
Wonder Woman,2017,"['Action', 'Adventure', 'Fantasy']",7.214,20528,149000000,823970682,297762
Coco,2017,"['Family', 'Animation', 'Music', 'Adventure']",8.201,20421,175000000,814641172,354912
Logan,2017,"['Action', 'Drama', 'Science Fiction']",7.82,19950,97000000,619021436,263115
It,2017,"['Horror', 'Thriller']",7.238,19805,35000000,704242888,346364
Get Out,2017,"['Mystery', 'Thriller', 'Horror']",7.621,18294,4500000,255407969,419430
Split,2017,"['Horror', 'Thriller']",7.343,17954,9000000,278454358,381288
Dunkirk,2017,"['War', 'Action', 'Drama']",7.4,17108,150000000,527000000,374720
Baby Driver,2017,"['Action', 'Crime']",7.445,16373,34000000,226945087,339403
Star Wars: The Last Jedi,2017,"['Adventure', 'Action', 'Science Fiction']",6.764,15905,300000000,1332698830,181808
Beauty and the Beast,2017,"['Family', 'Fantasy', 'Romance']",6.969,15820,160000000,1266115964,321612
Blade Runner 2049,2017,"['Science Fiction', 'Drama']",7.587,14536,150000000,259239658,335984
Jumanji: Welcome to the Jungle,2017,"['Adventure', 'Comedy', 'Fantasy', 'Action', 'Family']",6.819,14133,90000000,995339117,353486
John Wick: Chapter 2,2017,"['Action', 'Thriller', 'Crime']",7.339,13785,40000000,171539887,324552
Justice League,2017,"['Action', 'Adventure', 'Science Fiction']",6.075,13375,300000000,661326987,141052
The Shape of Water,2017,"['Drama', 'Fantasy', 'Romance']",7.24,12533,19500000,195300000,399055
Call Me by Your Name,2017,"['Romance', 'Drama']",8.102,12494,3500000,43143046,398818
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"['Adventure', 'Action', 'Fantasy']",6.652,12479,230000000,795922298,166426
Kong: Skull Island,2017,"['Action', 'Adventure', 'Fantasy']",6.548,10863,185000000,566652812,293167
