Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Deadpool,2016,"['Action', 'Adventure', 'Comedy']",7.622,32067,58000000,782837347,293660
Captain America: Civil War,2016,"['Adventure', 'Action', 'Science Fiction']",7.448,23516,250000000,1155046416,271110
Doctor Strange,2016,"['Fantasy', 'Adventure', 'Action']",7.418,22915,180000000,676343174,284052
Suicide Squad,2016,"['Action', 'Adventure', 'Fantasy']",5.92,21707,175000000,749200054,297761
Fantastic Beasts and Where to Find Them,2016,"['Fantasy', 'Adventure']",7.3,19331,180000000,809342332,259316
Arrival,2016,"['Drama', 'Science Fiction', 'Mystery']",7.622,18712,47000000,203388186,329865
Batman v Superman: Dawn of Justice,2016,"['Action', 'Adventure', 'Fantasy']",5.987,18594,250000000,874362803,209112
La La Land,2016,"['Comedy', 'Drama', 'Romance']",7.9,17624,30000000,509183536,313369
Zootopia,2016,"['Animation', 'Adventure', 'Family', 'Comedy']",7.8,17070,150000000,1025521689,269149
Rogue One: A Star Wars Story,2016,"['Action', 'Adventure', 'Science Fiction']",7.5,15964,200000000,1056057273,330459
Hacksaw Ridge,2016,"['Drama', 'History', 'War']",8.191,14417,40000000,175302354,324786
Passengers,2016,"['Drama', 'Romance', 'Science Fiction']",6.952,13848,110000000,303144152,274870
X-Men: Apocalypse,2016,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",6.517,13441,178000000,543934787,246655
Moana,2016,"['Adventure', 'Comedy', 'Family', 'Animation']",7.565,13382,150000000,690860472,277834
Me Before You,2016,"['Drama', 'Romance']",7.925,12884,20000000,207945075,296096
Finding Dory,2016,"['Adventure', 'Animation', 'Comedy', 'Family']",7.04,12429,200000000,1029266989,127380
Your Name.,2016,"['Animation', 'Romance', 'Drama']",8.479,12101,0,358000000,372058
Now You See Me 2,2016,"['Thriller', 'Crime']",6.826,11158,120000000,334897606,291805
Miss Peregrine's Home for Peculiar Children,2016,"['Fantasy', 'Adventure', 'Drama', 'Family']",6.837,10284,110000000,296482446,283366
Hidden Figures,2016,"['Drama', 'History']",8.05,10163,25000000,235957472,381284
The Conjuring 2,2016,['Horror'],7.294,8934,40000000,322819915,259693
10 Cloverfield Lane,2016,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",6.994,8359,15000000,110216998,333371
The Secret Life of Pets,2016,"['Family', 'Comedy', 'Adventure', 'Animation']",6.3,8332,75000000,875457937,328111
The Nice Guys,2016,"['Comedy', 'Crime', 'Action']",7.123,8326,50000000,71261763,290250
The Jungle Book,2016,"['Family', 'Adventure', 'Fantasy']",6.867,8317,175000000,966550600,278927
Sing,2016,"['Family', 'Comedy', 'Music', 'Animation']",7.12,8251,75000000,634151679,335797
Nocturnal Animals,2016,"['Drama', 'Thriller']",7.4,8073,22500000,29300000,340666
Train to Busan,2016,"['Horror', 'Thriller', 'Action', 'Adventure']",7.749,8042,8500000,87547518,396535
Assassin's Creed,2016,"['Action', 'Adventure', 'Science Fiction']",5.429,7953,125000000,240700000,121856
Don't Breathe,2016,"['Horror', 'Thriller', 'Crime']",7.016,7761,9900000,158906350,300669
Sausage Party,2016,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",5.75,7544,19000000,140705322,223702
Sully,2016,"['Drama', 'History']",7.2,7501,60000000,240800000,363676
