Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Soul,2020,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Drama']",8.103,11022,150000000,121977511,508442
Tenet,2020,"['Action', 'Thriller', 'Science Fiction']",7.177,10600,205000000,365304105,577922
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,"['Action', 'Crime']",6.9,10581,75000000,205537933,495764
Sonic the Hedgehog,2020,"['Action', 'Science Fiction', 'Comedy', 'Family']",7.297,10137,85000000,319715683,454626
365 Days,2020,"['Romance', 'Drama']",7.009,9340,0,9458590,664413
Wonder Woman 1984,2020,"['Action', 'Adventure', 'Fantasy']",6.391,8817,200000000,169601036,464052
Bad Boys for Life,2020,"['Thriller', 'Action', 'Crime']",7.127,8541,90000000,426505244,38700
Mulan,2020,"['Adventure', 'Fantasy', 'Action']",6.8,6913,200000000,69965374,337401
Onward,2020,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",7.654,6405,200000000,141888276,508439
Extraction,2020,"['Action', 'Thriller']",7.304,6385,65000000,0,545609
Enola Holmes,2020,"['Adventure', 'Mystery', 'Crime']",7.242,6321,21000000,0,497582
The Gentlemen,2020,"['Comedy', 'Crime']",7.668,6279,22000000,115171795,522627
The Invisible Man,2020,"['Thriller', 'Science Fiction', 'Horror']",7.1,6053,7000000,144492724,570670
After We Collided,2020,"['Romance', 'Drama']",7.163,5413,14000000,47990414,613504
Bloodshot,2020,"['Action', 'Science Fiction', 'Adventure']",6.696,5123,42000000,39861118,338762
The Kissing Booth 2,2020,"['Comedy', 'Romance']",7.619,5077,0,0,583083
Greenland,2020,"['Action', 'Adventure', 'Thriller', 'Science Fiction']",7.125,4828,34000000,52300000,524047
The Old Guard,2020,"['Action', 'Fantasy']",7.118,4604,70000000,0,547016
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,"['Animation', 'Action', 'Fantasy', 'Thriller']",8.209,4313,15700000,523542183,635302
Love and Monsters,2020,"['Comedy', 'Adventure', 'Science Fiction', 'Action']",7.278,4277,30000000,1122066,590223
The Croods: A New Age,2020,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",7.458,4006,65000000,215905815,529203
The Call of the Wild,2020,"['Adventure', 'Family', 'Drama']",7.531,3867,109000000,111200000,481848
Dolittle,2020,"['Family', 'Comedy', 'Fantasy', 'Adventure']",6.588,3764,175000000,251410631,448119
The New Mutants,2020,"['Science Fiction', 'Horror', 'Action']",6.084,3589,67000000,49169594,340102
Another Round,2020,"['Comedy', 'Drama']",7.635,3577,5150000,21700000,580175
The Devil All the Time,2020,"['Crime', 'Drama', 'Thriller']",7.193,3519,0,0,499932
Promising Young Woman,2020,"['Thriller', 'Crime', 'Drama']",7.402,3491,10000000,20379604,582014
The Hunt,2020,"['Action', 'Thriller', 'Horror']",6.627,3474,14000000,10550350,514847
The Father,2020,['Drama'],8.101,3453,6000000,21029340,600354
Palm Springs,2020,"['Comedy', 'Romance', 'Science Fiction']",7.334,3453,5000000,1818417,587792
Monster Hunter,2020,"['Action', 'Fantasy', 'Adventure']",6.541,3442,60000000,42145959,458576
Underwater,2020,"['Horror', 'Science Fiction', 'Action', 'Adventure']",6.283,3301,50000000,40882928,443791
The Trial of the Chicago 7,2020,"['Drama', 'History']",7.67,3218,35000000,107423,556984
Greyhound,2020,"['War', 'Action', 'Drama']",7.417,3152,50300000,0,516486
Project Power,2020,"['Action', 'Crime', 'Science Fiction']",6.431,2965,0,0,605116
All the Bright Places,2020,"['Romance', 'Drama']",7.637,2950,0,0,342470
The SpongeBob Movie: Sponge on the Run,2020,"['Family', 'Comedy', 'Adventure', 'Animation']",7.4,2919,60000000,4810790,400160
Roald Dahl's The Witches,2020,"['Comedy', 'Fantasy', 'Family', 'Horror']",6.349,2915,0,29303571,531219
Run,2020,"['Thriller', 'Horror', 'Drama']",7.2,2751,1700000,5184368,546121
Borat Subsequent Moviefilm,2020,['Comedy'],6.436,2723,0,0,740985
