Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Avengers: Age of Ultron,2015,"['Action', 'Adventure', 'Science Fiction']",7.271,23855,365000000,1405403694,99861
Mad Max: Fury Road,2015,"['Action', 'Adventure', 'Science Fiction']",7.627,23511,150000000,378858340,76341
Inside Out,2015,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",7.91,22924,175000000,857611174,150540
Jurassic World,2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",6.699,21102,150000000,1671537444,135397
The Martian,2015,"['Drama', 'Adventure', 'Science Fiction']",7.691,20590,108000000,631058917,286217
Ant-Man,2015,"['Science Fiction', 'Action', 'Adventure']",7.067,20422,130000000,519311965,102899
Star Wars: The Force Awakens,2015,"['Adventure', 'Action', 'Science Fiction']",7.254,20076,245000000,2068223624,140607
The Revenant,2015,"['Western', 'Drama', 'Adventure']",7.537,18785,135000000,532950503,281957
Kingsman: The Secret Service,2015,"['Crime', 'Comedy', 'Action', 'Adventure']",7.622,17391,81000000,414351546,207703
The Hateful Eight,2015,"['Drama', 'Mystery', 'Western']",7.756,14812,44000000,155760117,273248
The Hunger Games: Mockingjay - Part 2,2015,"['Action', 'Adventure', 'Science Fiction']",6.899,13025,160000000,653428261,131634
Fifty Shades of Grey,2015,"['Drama', 'Romance', 'Thriller']",5.879,12163,40000000,569651467,216015
Furious 7,2015,"['Action', 'Crime', 'Thriller']",7.223,11018,190000000,1515400000,168259
Spectre,2015,"['Action', 'Adventure', 'Thriller']",6.6,10917,245000000,880707597,206647
Minions,2015,"['Family', 'Animation', 'Adventure', 'Comedy']",6.416,10879,74000000,1159457503,211672
Maze Runner: The Scorch Trials,2015,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",6.733,10768,61000000,312296056,294254
Insurgent,2015,"['Action', 'Science Fiction', 'Thriller']",6.4,10237,110000000,297002527,262500
The Big Short,2015,"['Comedy', 'Drama']",7.359,9485,28000000,133346506,318846
Room,2015,"['Drama', 'Thriller']",7.998,9479,13000000,35401758,264644
Mission: Impossible - Rogue Nation,2015,"['Action', 'Adventure']",7.2,9385,150000000,682716636,177677
Sicario,2015,"['Action', 'Crime', 'Thriller']",7.415,9182,30000000,84997446,273481
San Andreas,2015,"['Action', 'Drama', 'Thriller']",6.2,8820,110000000,473990832,254128
Terminator Genisys,2015,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",5.946,8730,155000000,440603537,87101
Spotlight,2015,"['Drama', 'History']",7.8,8541,20000000,98690254,314365
Chappie,2015,"['Crime', 'Action', 'Science Fiction']",6.784,8231,49000000,104399548,198184
Focus,2015,"['Romance', 'Comedy', 'Crime']",6.871,8097,50100000,153962963,256591
Pixels,2015,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",5.8,7828,88000000,244874809,257344
Ted 2,2015,"['Comedy', 'Fantasy']",6.316,7789,68000000,215863606,214756
Creed,2015,"['Drama', 'Action']",7.407,7739,37000000,173600000,312221
Cinderella,2015,"['Romance', 'Fantasy', 'Family', 'Drama']",6.8,7248,95000000,543514353,150689
Tomorrowland,2015,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",6.3,7196,190000000,209200000,158852
Bridge of Spies,2015,"['Thriller', 'Drama']",7.236,7083,40000000,165478348,296098
The Intern,2015,['Comedy'],7.2,7070,35000000,194564672,257211
Jupiter Ascending,2015,"['Science Fiction', 'Fantasy', 'Action']",5.459,6930,176000000,184000000,76757
The Age of Adaline,2015,"['Romance', 'Fantasy', 'Drama']",7.477,6930,25000000,65663276,293863
It Follows,2015,"['Horror', 'Mystery']",6.59,6691,2300000,23374076,270303
The Man from U.N.C.L.E.,2015,"['Comedy', 'Action', 'Adventure']",7.081,6626,75000000,110045109,203801
The Lobster,2015,"['Comedy', 'Drama', 'Romance']",7.035,6617,4000000,15700000,254320
Fantastic Four,2015,"['Action', 'Adventure', 'Science Fiction']",4.4,6264,120000000,167977596,166424
