Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Se7en,1995,"['Crime', 'Mystery', 'Thriller']",8.4,22293,33000000,327311859,807
Toy Story,1995,"['Family', 'Comedy', 'Animation', 'Adventure']",7.97,19296,30000000,394436586,862
Jumanji,1995,"['Adventure', 'Fantasy', 'Family']",7.242,10970,65000000,262821940,8844
The Usual Suspects,1995,"['Drama', 'Crime', 'Thriller']",8.173,10966,6000000,23300000,629
Braveheart,1995,"['Action', 'Drama', 'History', 'War']",7.941,10698,72000000,213216216,197
Twelve Monkeys,1995,"['Science Fiction', 'Thriller', 'Mystery']",7.602,8781,29000000,168841459,63
Heat,1995,"['Crime', 'Drama', 'Action']",7.922,7919,60000000,187400000,949
Bad Boys,1995,"['Action', 'Comedy', 'Crime', 'Thriller']",6.824,6707,19000000,141407024,9737
Die Hard: With a Vengeance,1995,"['Action', 'Thriller']",7.274,6416,90000000,366101666,1572
Casino,1995,"['Crime', 'Drama']",7.993,6250,50000000,116112375,524
Pocahontas,1995,"['Adventure', 'Animation', 'Family', 'Romance']",6.912,5919,55000000,346079773,10530
Apollo 13,1995,"['Drama', 'History']",7.449,5673,52000000,355237933,568
Batman Forever,1995,"['Action', 'Crime', 'Fantasy']",5.4,5412,100000000,336529144,414
Casper,1995,"['Fantasy', 'Comedy', 'Family']",6.332,4789,50000000,287928194,8839
Clueless,1995,"['Comedy', 'Romance']",7.262,4647,12000000,56631572,9603
Dilwale Dulhania Le Jayenge,1995,"['Comedy', 'Drama', 'Romance']",8.515,4518,13200000,100000000,19404
Before Sunrise,1995,"['Drama', 'Romance']",7.968,4472,2500000,5987386,76
Ace Ventura: When Nature Calls,1995,"['Crime', 'Comedy', 'Adventure']",6.321,4372,30000000,212385533,9273
La Haine,1995,['Drama'],8.1,4342,2600000,15300000,406
GoldenEye,1995,"['Adventure', 'Action', 'Thriller']",6.897,4150,60000000,352194034,710
Waterworld,1995,"['Adventure', 'Action', 'Science Fiction']",6.229,3899,175000000,264218220,9804
Ghost in the Shell,1995,"['Action', 'Animation', 'Science Fiction']",7.926,3680,3000000,10000000,9323
Babe,1995,"['Fantasy', 'Drama', 'Comedy', 'Family']",6.251,3027,30000000,254100000,9598
Desperado,1995,"['Thriller', 'Action', 'Crime']",6.923,3017,7000000,25405445,8068
Four Rooms,1995,['Comedy'],5.873,2758,4000000,4257354,5
Judge Dredd,1995,"['Science Fiction', 'Action']",5.847,2614,90000000,113493481,9482
Mortal Kombat,1995,"['Action', 'Fantasy']",5.864,2411,18000000,122195920,9312
Outbreak,1995,"['Action', 'Drama', 'Science Fiction', 'Thriller']",6.563,2387,50000000,189900000,6950
The Bridges of Madison County,1995,"['Drama', 'Romance']",7.708,2276,24000000,182000000,688
Whisper of the Heart,1995,"['Animation', 'Drama', 'Family']",7.949,2164,0,0,37797
Balto,1995,"['Family', 'Animation', 'Adventure']",7.302,2116,31000000,11348324,21032
The Basketball Diaries,1995,"['Drama', 'Crime']",7.402,2114,2000000,2381087,10474
Friday,1995,"['Comedy', 'Drama']",7.132,1933,3500000,28215918,10634
While You Were Sleeping,1995,"['Romance', 'Comedy']",7.017,1909,17000000,182100000,2064
Crimson Tide,1995,"['Thriller', 'Action', 'Drama', 'War']",7.18,1898,53000000,157387195,8963
The Quick and the Dead,1995,"['Western', 'Action', 'Drama', 'Romance', 'Thriller']",6.537,1866,35000000,47000000,12106
A Goofy Movie,1995,"['Adventure', 'Comedy', 'Romance', 'Animation', 'Family']",7.007,1858,18000000,35348597,15789
In the Mouth of Madness,1995,"['Horror', 'Mystery']",7.211,1804,8000000,8946600,2654
Sense and Sensibility,1995,"['Drama', 'Romance']",7.42,1776,16000000,134582776,4584
Species,1995,"['Science Fiction', 'Horror', 'Action']",5.974,1757,35000000,113400000,9348
Billy Madison,1995,['Comedy'],6.184,1731,10000000,26488734,11017
Dead Man,1995,"['Drama', 'Fantasy', 'Western']",7.297,1658,9000000,1038000,922
Assassins,1995,"['Action', 'Adventure', 'Crime', 'Thriller']",6.493,1643,50000000,30303072,9691
Leaving Las Vegas,1995,"['Drama', 'Romance']",7.2,1563,3600000,49800000,451
Strange Days,1995,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",6.999,1458,42000000,7959291,281
Johnny Mnemonic,1995,"['Science Fiction', 'Action', 'Adventure']",5.763,1453,25000000,19075720,9886
The Net,1995,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",6.034,1448,22000000,110627965,1642
Dead Man Walking,1995,['Drama'],7.32,1433,11000000,39363635,687
Hackers,1995,"['Action', 'Crime', 'Thriller', 'Drama']",6.384,1392,20000000,7563728,10428
Showgirls,1995,['Drama'],5.6,1320,45000000,20367472,10802
Mallrats,1995,"['Romance', 'Comedy']",6.8,1315,6000000,2122561,2293
First Knight,1995,"['Action', 'Adventure', 'Drama', 'Romance']",6.105,1288,55000000,127600435,6520
Kids,1995,"['Drama', 'Crime']",6.896,1220,1500000,20412216,9344
Dangerous Minds,1995,['Drama'],6.961,1216,23000000,179519401,9909
Fallen Angels,1995,"['Action', 'Romance', 'Crime']",7.7,1204,0,0,11220
Halloween: The Curse of Michael Myers,1995,"['Horror', 'Thriller']",5.155,1193,5000000,15116634,10987
Copycat,1995,"['Thriller', 'Crime', 'Mystery']",6.472,1175,20000000,32000000,1710
The City of Lost Children,1995,"['Fantasy', 'Science Fiction', 'Adventure']",7.253,1162,18000000,1738611,902
Get Shorty,1995,"['Comedy', 'Thriller', 'Crime']",6.507,1136,30250000,115101622,8012
Rumble in the Bronx,1995,"['Crime', 'Action', 'Comedy', 'Thriller']",6.813,1103,7500000,76028558,33542
A Walk in the Clouds,1995,"['Drama', 'Romance']",7.358,1088,20000000,50012507,9560
Dracula: Dead and Loving It,1995,"['Comedy', 'Horror']",6.081,1049,30000000,10772144,12110
A Little Princess,1995,"['Drama', 'Family', 'Fantasy']",7.618,1012,17000000,10000000,19101
Tommy Boy,1995,['Comedy'],6.802,1010,20000000,32648673,11381
Under Siege 2: Dark Territory,1995,"['Action', 'Thriller']",5.842,971,60000000,104324083,3512
Congo,1995,"['Action', 'Adventure', 'Science Fiction']",5.579,939,50000000,152022101,10329
It Takes Two,1995,"['Comedy', 'Family', 'Romance']",6.513,934,19474589,19474589,33689
Dragon Ball Z: Fusion Reborn,1995,"['Animation', 'Action', 'Science Fiction']",7.5,893,0,23500000,39107
Village of the Damned,1995,"['Thriller', 'Horror', 'Science Fiction']",6.1,879,22000000,9418365,12122
Major Payne,1995,"['Adventure', 'Comedy', 'Family']",6.442,852,0,30112050,11008
To Die For,1995,"['Drama', 'Comedy', 'Crime']",6.579,844,20000000,21300000,577
Dolores Claiborne,1995,"['Crime', 'Drama', 'Mystery']",7.3,832,13000000,46400000,11929
Money Train,1995,"['Action', 'Comedy', 'Crime']",5.851,818,68000000,77224232,11517
Father of the Bride Part II,1995,"['Comedy', 'Family']",6.266,777,0,76594107,11862
The Three Brothers,1995,['Comedy'],6.945,776,7500000,46000000,37653
Sudden Death,1995,"['Action', 'Drama', 'Thriller', 'Crime']",6.005,773,35000000,64350171,9091
Nick of Time,1995,"['Thriller', 'Crime', 'Action']",6.234,768,33000000,8175346,2086
French Kiss,1995,"['Comedy', 'Romance']",6.456,766,0,101982854,397
Dragon Ball Z: Wrath of the Dragon,1995,"['Animation', 'Action', 'Science Fiction']",7.3,758,0,11694663,39108
Empire Records,1995,"['Music', 'Comedy', 'Drama', 'Romance']",6.634,757,10000000,303841,13531
The American President,1995,"['Comedy', 'Drama', 'Romance']",6.5,754,62000000,107879496,9087
Mighty Morphin Power Rangers: The Movie,1995,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",5.857,738,15000000,66433194,9070
Underground,1995,"['Comedy', 'Drama', 'War']",7.727,731,14000000,0,11902
The Return of the Texas Chainsaw Massacre,1995,"['Horror', 'Comedy']",4.6,723,600000,185898,16780
Mighty Aphrodite,1995,"['Comedy', 'Romance']",6.714,721,15000000,26000000,11448
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,"['Comedy', 'Drama']",7.375,722,0,47774193,9090
Powder,1995,"['Drama', 'Fantasy']",7.0,691,9500000,30900000,12665
Rob Roy,1995,"['Adventure', 'History', 'Drama', 'Action', 'War']",6.703,681,28000000,31600000,11780
Nine Months,1995,"['Romance', 'Comedy']",5.708,681,35000000,138500000,11472
Sabrina,1995,"['Romance', 'Drama', 'Comedy']",6.2,657,58000000,53672080,11860
The Indian in the Cupboard,1995,"['Adventure', 'Family', 'Fantasy']",6.455,656,45000000,35700000,11359
Vampire in Brooklyn,1995,"['Comedy', 'Horror', 'Romance', 'Fantasy']",5.084,614,14000000,19800000,12158
Free Willy 2: The Adventure Home,1995,"['Family', 'Adventure', 'Drama', 'Comedy']",5.927,604,31000000,30077111,9073
Just Cause,1995,"['Action', 'Drama', 'Mystery', 'Thriller']",6.247,598,0,36853222,9061
Cutthroat Island,1995,"['Action', 'Adventure']",5.787,594,102000000,16000000,1408
Murder in the First,1995,"['Crime', 'Drama']",7.1,589,20000000,29500000,8438
The Day of the Beast,1995,"['Horror', 'Comedy', 'Action']",7.247,575,0,4367497,10722
Virtuosity,1995,"['Action', 'Crime', 'Science Fiction', 'Thriller']",5.506,575,30000000,24048000,9271
Screamers,1995,"['Horror', 'Science Fiction', 'War']",6.21,571,20000000,5781885,9102
Tank Girl,1995,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",5.435,545,25000000,4064495,9067
Trainspotting,1996,"['Drama', 'Crime']",7.961,10090,4000000,71981823,627
Independence Day,1996,"['Action', 'Adventure', 'Science Fiction']",6.897,10054,75000000,817400891,602
Mission: Impossible,1996,"['Adventure', 'Action', 'Thriller']",7.013,9643,80000000,457696391,954
Fargo,1996,"['Crime', 'Drama', 'Thriller']",7.852,8666,7000000,60611975,275
Scream,1996,"['Crime', 'Horror', 'Mystery']",7.423,7538,14000000,173046663,4232
From Dusk Till Dawn,1996,"['Horror', 'Action', 'Thriller', 'Crime']",7.03,6246,19000000,25800000,755
Space Jam,1996,"['Comedy', 'Animation', 'Family', 'Science Fiction']",6.813,6244,80000000,250200000,2300
Mars Attacks!,1996,"['Comedy', 'Fantasy', 'Science Fiction']",6.4,5698,70000000,101371017,75
The Hunchback of Notre Dame,1996,"['Drama', 'Animation', 'Family']",7.1,5220,100000000,325300000,10545
Romeo + Juliet,1996,"['Drama', 'Romance']",6.784,5194,14500000,147298761,454
The Rock,1996,"['Action', 'Adventure', 'Thriller']",7.136,4970,75000000,335062621,9802
Matilda,1996,"['Comedy', 'Family', 'Fantasy']",7.169,4652,36000000,33500000,10830
Sleepers,1996,"['Crime', 'Drama', 'Thriller']",7.6,3713,44000000,165600000,819
Primal Fear,1996,"['Crime', 'Drama', 'Mystery', 'Thriller']",7.655,3697,30000000,102616183,1592
Twister,1996,"['Action', 'Adventure', 'Drama']",6.545,3673,92000000,494471524,664
Jerry Maguire,1996,"['Comedy', 'Drama', 'Romance']",6.973,3527,50000000,273600000,9390
101 Dalmatians,1996,"['Family', 'Comedy']",5.936,3522,54000000,320689294,11674
Happy Gilmore,1996,['Comedy'],6.676,3152,12000000,41422354,9614
The Nutty Professor,1996,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",5.644,3024,54000000,128769345,9327
Jingle All the Way,1996,"['Family', 'Comedy', 'Adventure']",6.057,2814,60000000,129800000,9279
A Time to Kill,1996,"['Crime', 'Drama', 'Thriller']",7.386,2761,40000000,152266007,1645
The Cable Guy,1996,"['Comedy', 'Drama', 'Thriller']",5.994,2559,47000000,102825796,9894
The English Patient,1996,"['Drama', 'Romance', 'War']",7.157,2301,27000000,231976425,409
DragonHeart,1996,"['Fantasy', 'Action', 'Adventure', 'Drama']",6.54,2073,57000000,115267375,8840
Slayers Return,1996,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",6.5,2072,0,0,125521
The Craft,1996,"['Horror', 'Drama', 'Fantasy']",6.776,1984,15000000,24800000,9100
Ransom,1996,"['Action', 'Thriller']",6.671,1971,80000000,309492681,3595
Eraser,1996,"['Action', 'Mystery', 'Thriller']",6.082,1933,100000000,242295562,9268
Aladdin and the King of Thieves,1996,"['Adventure', 'Animation', 'Family']",6.2,1919,0,0,11238
Star Trek: First Contact,1996,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",7.3,1871,46000000,146027888,199
The Frighteners,1996,"['Horror', 'Comedy']",6.916,1640,30000000,29359216,10779
Daylight,1996,"['Action', 'Adventure', 'Thriller']",6.11,1617,80000000,159212469,11228
Broken Arrow,1996,"['Action', 'Thriller']",6.06,1600,50000000,150300000,9208
Escape from L.A.,1996,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",5.876,1535,50000000,42277365,10061
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"['Comedy', 'Crime']",7.022,1416,3800000,20100000,10607
James and the Giant Peach,1996,"['Adventure', 'Animation', 'Family', 'Fantasy']",6.575,1387,38000000,28946127,10539
Jack,1996,"['Comedy', 'Family', 'Drama']",6.3,1316,45000000,58620973,7095
