Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Avengers: Age of Ultron,2015,"['Action', 'Adventure', 'Science Fiction']",7.271,23853,365000000,1405403694,99861
Mad Max: Fury Road,2015,"['Action', 'Adventure', 'Science Fiction']",7.627,23507,150000000,378858340,76341
Inside Out,2015,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",7.91,22922,175000000,857611174,150540
Jurassic World,2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",6.699,21100,150000000,1671537444,135397
The Martian,2015,"['Drama', 'Adventure', 'Science Fiction']",7.691,20585,108000000,631058917,286217
Ant-Man,2015,"['Science Fiction', 'Action', 'Adventure']",7.067,20421,130000000,519311965,102899
Star Wars: The Force Awakens,2015,"['Adventure', 'Action', 'Science Fiction']",7.255,20071,245000000,2068223624,140607
The Revenant,2015,"['Western', 'Drama', 'Adventure']",7.537,18781,135000000,532950503,281957
Kingsman: The Secret Service,2015,"['Crime', 'Comedy', 'Action', 'Adventure']",7.622,17387,81000000,414351546,207703
The Hateful Eight,2015,"['Drama', 'Mystery', 'Western']",7.756,14810,44000000,155760117,273248
Ex Machina,2015,"['Drama', 'Science Fiction']",7.57,13820,15000000,36869414,264660
The Hunger Games: Mockingjay - Part 2,2015,"['Action', 'Adventure', 'Science Fiction']",6.899,13023,160000000,653428261,131634
Fifty Shades of Grey,2015,"['Drama', 'Romance', 'Thriller']",5.879,12162,40000000,569651467,216015
Furious 7,2015,"['Action', 'Crime', 'Thriller']",7.223,11017,190000000,1515400000,168259
Spectre,2015,"['Action', 'Adventure', 'Thriller']",6.565,10917,245000000,880707597,206647
Minions,2015,"['Family', 'Animation', 'Adventure', 'Comedy']",6.416,10879,74000000,1159457503,211672
Maze Runner: The Scorch Trials,2015,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",6.733,10764,61000000,312296056,294254
Insurgent,2015,"['Action', 'Science Fiction', 'Thriller']",6.364,10237,110000000,297002527,262500
The Big Short,2015,"['Comedy', 'Drama']",7.359,9481,28000000,133346506,318846
Room,2015,"['Drama', 'Thriller']",7.998,9477,13000000,35401758,264644
Mission: Impossible - Rogue Nation,2015,"['Action', 'Adventure']",7.217,9384,150000000,682716636,177677
