Year,Actor_Name,Film_Title,Winner,Nominated
1952,Alec Guinness,The Lavender Hill Mob,No,Yes
1953,William Holden,Stalag 17,Yes,Yes
1953,Marlon Brando,Julius Caesar,No,Yes
1953,Richard Burton,The Robe,No,Yes
1953,Montgomery Clift,From Here to Eternity,No,Yes
1953,Montgomery Clift,1st Sgt. Milton Warden,No,Yes
1954,Marlon Brando,On the Waterfront,Yes,Yes
1954,Humphrey Bogart,The Caine Mutiny,No,Yes
1954,Bing Crosby,The Country Girl,No,Yes
1954,James Mason,A Star Is Born,No,Yes
1954,Dan O'Herlihy,Robinson Crusoe,No,Yes
1955,Ernest Borgnine,Marty,Yes,Yes
1955,James Cagney,Love Me or Leave Me,No,Yes
1955,James Dean,East of Eden,No,Yes
1955,Frank Sinatra,The Man with the Golden Arm,No,Yes
1955,Spencer Tracy,Bad Day at Black Rock,No,Yes
1956,Yul Brynner,The King and I,Yes,Yes
1956,James Dean,Giant,No,Yes
1956,Kirk Douglas,Lust for Life,No,Yes
1956,Rock Hudson,Giant,No,Yes
1956,Laurence Olivier,Richard III,No,Yes
1957,Alec Guinness,The Bridge on the River Kwai,Yes,Yes
1957,Marlon Brando,Sayonara,No,Yes
1957,Anthony Franciosa,A Hatful of Rain,No,Yes
1957,Charles Laughton,Witness for the Prosecution,No,Yes
1957,Anthony Quinn,Wild Is the Wind,No,Yes
1958,David Niven,Separate Tables,Yes,Yes
1958,Tony Curtis,The Defiant Ones,No,Yes
1958,Paul Newman,Cat on a Hot Tin Roof,No,Yes
1958,Sidney Poitier,The Defiant Ones,No,Yes
1958,Spencer Tracy,The Old Man and the Sea,No,Yes
1959,Charlton Heston,Ben-Hur,Yes,Yes
1959,Laurence Harvey,Room at the Top,No,Yes
1959,Jack Lemmon,Some Like It Hot,No,Yes
1959,Paul Muni,The Last Angry Man,No,Yes
1959,James Stewart,Anatomy of a Murder,No,Yes
1960,Burt Lancaster,Elmer Gantry,Yes,Yes
1960,Trevor Howard,Sons and Lovers,No,Yes
1960,Jack Lemmon,The Apartment,No,Yes
1960,Laurence Olivier,The Entertainer,No,Yes
1960,Spencer Tracy,Inherit the Wind,No,Yes
1961,Maximilian Schell,Judgment at Nuremberg,Yes,Yes
1961,Charles Boyer,Fanny,No,Yes
1961,Paul Newman,The Hustler,No,Yes
1961,Spencer Tracy,Judgment at Nuremberg,No,Yes
1961,Stuart Whitman,The Mark,No,Yes
1962,Gregory Peck,To Kill a Mockingbird,Yes,Yes
1962,Burt Lancaster,Birdman of Alcatraz,No,Yes
1962,Jack Lemmon,Days of Wine and Roses,No,Yes
1962,Marcello Mastroianni,Divorce Italian Style,No,Yes
1962,Peter O'Toole,Lawrence of Arabia,No,Yes
1963,Sidney Poitier,Lilies of the Field,Yes,Yes
1963,Albert Finney,Tom Jones,No,Yes
1963,Richard Harris,This Sporting Life,No,Yes
1963,Rex Harrison,Cleopatra,No,Yes
1963,Paul Newman,Hud,No,Yes
1964,Rex Harrison,My Fair Lady,Yes,Yes
1964,Richard Burton,Becket,No,Yes
1964,Richard Burton,King Henry II,No,Yes
1964,Anthony Quinn,Zorba the Greek,No,Yes
1964,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,No,Yes
1965,Lee Marvin,Cat Ballou,Yes,Yes
1965,Richard Burton,The Spy Who Came in from the Cold,No,Yes
1965,Laurence Olivier,Othello,No,Yes
1965,Rod Steiger,The Pawnbroker,No,Yes
1965,Oskar Werner,Ship of Fools,No,Yes
1966,Paul Scofield,A Man for All Seasons,Yes,Yes
1966,Alan Arkin,"The Russians Are Coming, the Russians Are Coming",No,Yes
1966,Richard Burton,Who's Afraid of Virginia Woolf?,No,Yes
1966,Michael Caine,Alfie,No,Yes
1966,Steve McQueen,The Sand Pebbles,No,Yes
1967,Rod Steiger,In the Heat of the Night,Yes,Yes
1967,Warren Beatty,Bonnie and Clyde,No,Yes
1967,Dustin Hoffman,The Graduate,No,Yes
1967,Paul Newman,Cool Hand Luke,No,Yes
1967,Spencer Tracy,Guess Who's Coming to Dinner,No,Yes
1968,Cliff Robertson,Charly,Yes,Yes
1968,Alan Arkin,The Heart Is a Lonely Hunter,No,Yes
1968,Alan Bates,The Fixer,No,Yes
1968,Ron Moody,Oliver!,No,Yes
1968,Peter O'Toole,The Lion in Winter,No,Yes
1969,John Wayne,True Grit,Yes,Yes
1969,Richard Burton,Anne of the Thousand Days,No,Yes
1969,Dustin Hoffman,Midnight Cowboy,No,Yes
1969,Peter O'Toole,"Goodbye, Mr. Chips",No,Yes
1969,Jon Voight,Midnight Cowboy,No,Yes
1970,George C. Scott,Patton,Yes,Yes
1970,Melvyn Douglas,I Never Sang for My Father,No,Yes
1970,James Earl Jones,The Great White Hope,No,Yes
1970,Jack Nicholson,Five Easy Pieces,No,Yes
1970,Ryan O'Neal,Love Story,No,Yes
1971,Gene Hackman,The French Connection,Yes,Yes
1971,Peter Finch,Sunday Bloody Sunday,No,Yes
1971,Walter Matthau,Kotch,No,Yes
1971,George C. Scott,The Hospital,No,Yes
1971,Topol,Fiddler on the Roof,No,Yes
1972,Marlon Brando,The Godfather,Yes,Yes
1972,Michael Caine,Sleuth,No,Yes
1972,Michael Caine,Andrew Wyke,No,Yes
1972,Peter O'Toole,The Ruling Class,No,Yes
1972,Paul Winfield,Sounder,No,Yes
1973,Jack Lemmon,Save the Tiger,Yes,Yes
1973,Marlon Brando,Last Tango in Paris,No,Yes
1973,Jack Nicholson,The Last Detail,No,Yes
1973,Al Pacino,Serpico,No,Yes
1973,Robert Redford,The Sting,No,Yes
1974,Art Carney,Harry and Tonto,Yes,Yes
1974,Albert Finney,Murder on the Orient Express,No,Yes
1974,Dustin Hoffman,Lenny,No,Yes
1974,Jack Nicholson,Chinatown,No,Yes
1974,Al Pacino,The Godfather Part II,No,Yes
1975,Jack Nicholson,One Flew Over the Cuckoo's Nest,Yes,Yes
1975,Walter Matthau,The Sunshine Boys,No,Yes
1975,Al Pacino,Dog Day Afternoon,No,Yes
1975,Maximilian Schell,The Man in the Glass Booth,No,Yes
1975,James Whitmore,"Give 'em Hell, Harry!",No,Yes
1976,Peter Finch,Network,Yes,Yes
1976,Robert De Niro,Taxi Driver,No,Yes
1976,Giancarlo Giannini,Seven Beauties,No,Yes
1976,William Holden,Network,No,Yes
1976,Sylvester Stallone,Rocky,No,Yes
1977,Richard Dreyfuss,The Goodbye Girl,Yes,Yes
1977,Woody Allen,Annie Hall,No,Yes
1977,Richard Burton,Equus,No,Yes
