Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
American Pie Presents: Band Camp,2005,['Comedy'],5.467,2159,7000000,0,8274
Unleashed,2005,"['Action', 'Crime']",6.935,2093,45000000,50871113,10027
Cheaper by the Dozen 2,2005,"['Comedy', 'Family', 'Adventure']",6.2,2048,60000000,129181830,9641
xXx: State of the Union,2005,"['Action', 'Adventure', 'Crime', 'Thriller']",5.078,1951,60000000,71410636,11679
Miss Congeniality 2: Armed and Fabulous,2005,"['Action', 'Comedy']",5.7,1919,0,101393569,10040
Son of the Mask,2005,"['Fantasy', 'Comedy', 'Family', 'Adventure']",4.211,1907,84000000,59918422,10214
Hoodwinked!,2005,"['Animation', 'Comedy', 'Family', 'Crime', 'Mystery']",6.252,1837,8000000,110000000,10982
Lady Vengeance,2005,"['Drama', 'Thriller']",7.5,1789,0,23803308,4550
Just Friends,2005,"['Comedy', 'Romance']",6.2,1711,0,50817508,10033
Monster-in-Law,2005,"['Romance', 'Comedy']",6.2,1711,43000000,154749918,4379
Hostage,2005,"['Action', 'Thriller', 'Crime']",6.3,1691,52000000,77944725,2026
Land of the Dead,2005,"['Horror', 'Science Fiction', 'Thriller']",6.2,1690,15000000,47074133,11683
Hide and Seek,2005,"['Horror', 'Mystery']",6.33,1654,30000000,127369981,11096
The Constant Gardener,2005,"['Drama', 'Mystery', 'Thriller']",6.997,1632,25000000,82468097,1985
Bewitched,2005,"['Comedy', 'Fantasy', 'Romance']",5.084,1608,85000000,131426169,9722
The Jacket,2005,"['Drama', 'Mystery', 'Science Fiction', 'Thriller', 'Fantasy']",6.871,1599,29000000,21733230,9667
Lilo & Stitch 2: Stitch Has a Glitch,2005,"['Animation', 'Family', 'Comedy', 'Science Fiction']",6.7,1584,0,0,20760
The Adventures of Sharkboy and Lavagirl,2005,"['Adventure', 'Family', 'Science Fiction']",5.207,1570,50000000,72000000,14199
Into the Blue,2005,"['Action', 'Thriller', 'Adventure', 'Crime']",5.9,1570,50000000,46117696,11968
Sahara,2005,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",5.9,1569,130000000,119269486,7364
Capote,2005,"['Crime', 'Drama']",6.98,1562,7000000,49327405,398
The Interpreter,2005,"['Crime', 'Thriller']",6.3,1508,80000000,162944923,179
The Devil's Rejects,2005,"['Drama', 'Horror', 'Crime']",6.8,1492,7000000,20901859,1696
Revolver,2005,"['Drama', 'Thriller', 'Crime', 'Mystery']",6.341,1463,27000000,7164778,10851
Stay,2005,"['Mystery', 'Thriller', 'Drama']",6.59,1442,50000000,8342132,8066
Syriana,2005,"['Drama', 'Thriller']",6.414,1432,50000000,93974620,231
Broken Flowers,2005,"['Comedy', 'Drama', 'Mystery', 'Romance']",6.921,1423,10000000,46720491,308
A Lot Like Love,2005,"['Comedy', 'Drama', 'Romance']",6.8,1332,30000000,42886719,8976
The Sisterhood of the Traveling Pants,2005,"['Drama', 'Comedy', 'Romance']",6.516,1324,25000000,39053061,9779
Kronk's New Groove,2005,"['Animation', 'Comedy', 'Family']",6.404,1313,0,0,13417
The Brice Man,2005,['Comedy'],5.517,1257,4289601,33026616,17350
Domino,2005,"['Action', 'Crime', 'Drama', 'Thriller']",5.919,1252,50000000,22900000,9923
The Dukes of Hazzard,2005,"['Comedy', 'Adventure', 'Action']",5.597,1252,50000000,110803676,6519
Wolf Creek,2005,"['Horror', 'Thriller']",6.2,1238,1000000,30894796,9885
In Her Shoes,2005,"['Comedy', 'Drama', 'Romance']",6.203,1236,0,83073883,11931
The Wedding Date,2005,"['Romance', 'Comedy']",6.818,1231,15000000,47175038,6961
The New World,2005,"['Drama', 'History', 'Romance']",6.52,1224,30000000,30500000,11400
The Prestige,2006,"['Drama', 'Mystery', 'Science Fiction']",8.2,16952,40000000,109676311,1124
Pirates of the Caribbean: Dead Man's Chest,2006,"['Adventure', 'Fantasy', 'Action']",7.372,16706,200000000,1066179747,58
The Departed,2006,"['Drama', 'Thriller', 'Crime']",8.159,15668,90000000,291465000,1422
V for Vendetta,2006,"['Action', 'Thriller', 'Science Fiction']",7.898,15129,54000000,134686457,752
Cars,2006,"['Animation', 'Adventure', 'Comedy', 'Family']",7.0,14686,120000000,461983149,920
The Devil Wears Prada,2006,"['Drama', 'Comedy']",7.391,12604,35000000,326706115,350
Casino Royale,2006,"['Adventure', 'Action', 'Thriller']",7.566,11264,150000000,599045960,36557
Pan's Labyrinth,2006,"['Fantasy', 'Drama', 'War']",7.757,11108,19000000,83258226,1417
Night at the Museum,2006,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6.594,10640,110000000,574480841,1593
The Pursuit of Happyness,2006,['Drama'],7.89,10290,55000000,307077295,1402
Ice Age: The Meltdown,2006,"['Animation', 'Family', 'Comedy', 'Adventure']",6.716,10102,80000000,660998756,950
X-Men: The Last Stand,2006,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",6.4,10097,210000000,459359555,36668
The Da Vinci Code,2006,"['Thriller', 'Mystery']",6.728,9775,125000000,760006945,591
Blood Diamond,2006,"['Drama', 'Thriller', 'Action']",7.552,8028,100000000,171700000,1372
Little Miss Sunshine,2006,"['Comedy', 'Drama']",7.691,7546,8000000,100523181,773
Children of Men,2006,"['Drama', 'Action', 'Thriller', 'Science Fiction']",7.611,7536,76000000,70595464,9693
Mission: Impossible III,2006,"['Adventure', 'Action', 'Thriller']",6.751,7358,150000000,398479497,956
The Fast and the Furious: Tokyo Drift,2006,"['Action', 'Crime', 'Drama', 'Thriller']",6.532,7324,85000000,158964610,9615
Click,2006,"['Comedy', 'Drama', 'Fantasy']",6.3,7314,82500000,240685326,9339
Inside Man,2006,"['Crime', 'Drama', 'Thriller']",7.397,6112,45000000,186003591,388
Apocalypto,2006,"['Action', 'Drama', 'History']",7.6,5944,40000000,120654337,1579
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,['Comedy'],6.785,5723,18000000,262552893,496
The Holiday,2006,"['Comedy', 'Romance']",7.1,5392,85000000,205219880,1581
Happy Feet,2006,"['Animation', 'Comedy', 'Family']",6.215,5313,100000000,384335608,9836
The Illusionist,2006,"['Fantasy', 'Drama', 'Thriller', 'Romance']",7.295,5134,16500000,87892388,1491
Déjà Vu,2006,"['Action', 'Thriller', 'Science Fiction']",6.869,5088,75000000,180557550,7551
Perfume: The Story of a Murderer,2006,"['Crime', 'Fantasy', 'Drama']",7.366,4820,63700000,135039924,1427
Saw III,2006,"['Horror', 'Thriller', 'Crime']",6.419,4783,10000000,164874275,214
High School Musical,2006,"['Comedy', 'Drama', 'Family', 'Music', 'Romance', 'TV Movie']",6.545,4701,4200000,3746,10947
Over the Hedge,2006,"['Family', 'Comedy', 'Animation']",6.583,4672,80000000,343397247,7518
Silent Hill,2006,"['Horror', 'Mystery']",6.603,4601,50000000,100605135,588
Superman Returns,2006,"['Science Fiction', 'Action', 'Adventure']",5.793,4414,223000000,391081192,1452
Final Destination 3,2006,"['Horror', 'Mystery']",6.148,4373,25000000,118890272,9286
Lucky Number Slevin,2006,"['Drama', 'Thriller', 'Crime', 'Mystery']",7.479,4285,27000000,56300000,186
Underworld: Evolution,2006,"['Fantasy', 'Action', 'Thriller']",6.6,4235,50000000,111476513,834
Monster House,2006,"['Animation', 'Comedy', 'Family', 'Fantasy']",6.696,4197,75000000,140175006,9297
Crank,2006,"['Action', 'Thriller', 'Crime']",6.647,4037,12000000,42900000,1948
Flushed Away,2006,"['Adventure', 'Animation', 'Comedy', 'Family']",6.31,3981,149000000,178120010,11619
Babel,2006,['Drama'],7.168,3934,25000000,135330835,1164
The Lives of Others,2006,"['Drama', 'Thriller']",8.039,3919,2000000,77672685,582
Hostel,2006,['Horror'],5.947,3807,4800000,81979826,1690
Step Up,2006,"['Music', 'Drama', 'Romance', 'Crime']",6.872,3804,12000000,114194847,9762
Rocky Balboa,2006,['Drama'],6.876,3675,24000000,155929020,1246
Scary Movie 4,2006,['Comedy'],5.5,3425,40000000,178710620,4257
Eragon,2006,"['Fantasy', 'Action', 'Adventure', 'Family']",5.125,3371,100000000,250425512,2486
Idiocracy,2006,"['Comedy', 'Science Fiction', 'Adventure']",6.361,3318,30000000,495303,7512
The Hills Have Eyes,2006,"['Horror', 'Thriller']",6.452,3220,15000000,69623713,9792
She's the Man,2006,"['Comedy', 'Romance']",6.816,3200,20000000,57194667,9655
The Host,2006,"['Horror', 'Drama', 'Science Fiction']",6.979,2994,11000000,88489643,1255
Arthur and the Invisibles,2006,"['Adventure', 'Fantasy', 'Animation', 'Family']",6.386,2975,86000000,108605609,9992
